GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US53033029405,53033029405,"Census Tract 294.05, King County, Washington",293300,11165
1400000US53033029406,53033029406,"Census Tract 294.06, King County, Washington",334100,15139
1400000US53033029407,53033029407,"Census Tract 294.07, King County, Washington",287200,23622
1400000US53033029408,53033029408,"Census Tract 294.08, King County, Washington",203200,23704
1400000US53033029502,53033029502,"Census Tract 295.02, King County, Washington",315800,16327
1400000US53033029503,53033029503,"Census Tract 295.03, King County, Washington",258800,40288
1400000US53033029504,53033029504,"Census Tract 295.04, King County, Washington",236400,18881
1400000US53033029601,53033029601,"Census Tract 296.01, King County, Washington",281900,24788
1400000US53033029602,53033029602,"Census Tract 296.02, King County, Washington",362300,14939
1400000US53033029700,53033029700,"Census Tract 297, King County, Washington",238300,28212
1400000US53033029801,53033029801,"Census Tract 298.01, King County, Washington",291700,32008
1400000US53033029802,53033029802,"Census Tract 298.02, King County, Washington",274600,15577
1400000US53033029901,53033029901,"Census Tract 299.01, King County, Washington",291000,19403
1400000US53033029902,53033029902,"Census Tract 299.02, King County, Washington",331900,23581
1400000US53033030003,53033030003,"Census Tract 300.03, King County, Washington",319500,30844
1400000US53033030004,53033030004,"Census Tract 300.04, King County, Washington",237100,31760
1400000US53033030005,53033030005,"Census Tract 300.05, King County, Washington",222600,18025
1400000US53033030006,53033030006,"Census Tract 300.06, King County, Washington",267000,38667
1400000US53033030100,53033030100,"Census Tract 301, King County, Washington",416000,36584
1400000US53033030201,53033030201,"Census Tract 302.01, King County, Washington",239100,20536
1400000US53033030202,53033030202,"Census Tract 302.02, King County, Washington",226600,17806
1400000US53033030304,53033030304,"Census Tract 303.04, King County, Washington",316900,25466
1400000US53033030305,53033030305,"Census Tract 303.05, King County, Washington",296300,21205
1400000US53033030306,53033030306,"Census Tract 303.06, King County, Washington",313200,18568
1400000US53033030308,53033030308,"Census Tract 303.08, King County, Washington",316700,25169
1400000US53033030309,53033030309,"Census Tract 303.09, King County, Washington",337600,53020
1400000US53033030310,53033030310,"Census Tract 303.10, King County, Washington",350000,16783
