GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US53033011700,53033011700,"Census Tract 117, King County, Washington",1746,86,1317,128,429,121
1400000US53033011800,53033011800,"Census Tract 118, King County, Washington",2861,160,1423,145,1438,180
1400000US53033011900,53033011900,"Census Tract 119, King County, Washington",2599,119,1879,204,720,198
1400000US53033012000,53033012000,"Census Tract 120, King County, Washington",1526,62,1213,111,313,97
1400000US53033012100,53033012100,"Census Tract 121, King County, Washington",1176,66,1046,71,130,45
1400000US53033020100,53033020100,"Census Tract 201, King County, Washington",1279,54,1100,76,179,65
1400000US53033020200,53033020200,"Census Tract 202, King County, Washington",2103,112,1494,135,609,116
1400000US53033020300,53033020300,"Census Tract 203, King County, Washington",3100,102,1262,193,1838,170
1400000US53033020401,53033020401,"Census Tract 204.01, King County, Washington",1440,62,902,98,538,89
1400000US53033020402,53033020402,"Census Tract 204.02, King County, Washington",2161,126,1504,162,657,166
1400000US53033020500,53033020500,"Census Tract 205, King County, Washington",2795,101,1700,231,1095,200
1400000US53033020600,53033020600,"Census Tract 206, King County, Washington",1328,37,1058,82,270,73
1400000US53033020700,53033020700,"Census Tract 207, King County, Washington",1506,71,792,101,714,117
1400000US53033020800,53033020800,"Census Tract 208, King County, Washington",1767,39,1340,83,427,78
1400000US53033020900,53033020900,"Census Tract 209, King County, Washington",1408,61,986,102,422,92
1400000US53033021000,53033021000,"Census Tract 210, King County, Washington",2163,135,1511,157,652,182
1400000US53033021100,53033021100,"Census Tract 211, King County, Washington",1584,63,901,97,683,102
1400000US53033021300,53033021300,"Census Tract 213, King County, Washington",1744,77,1012,110,732,105
1400000US53033021400,53033021400,"Census Tract 214, King County, Washington",1404,87,1132,104,272,85
1400000US53033021500,53033021500,"Census Tract 215, King County, Washington",1699,98,1587,110,112,67
1400000US53033021600,53033021600,"Census Tract 216, King County, Washington",1847,80,1422,110,425,87
1400000US53033021700,53033021700,"Census Tract 217, King County, Washington",3656,134,1990,186,1666,176
1400000US53033021802,53033021802,"Census Tract 218.02, King County, Washington",2229,99,1452,137,777,132
1400000US53033021803,53033021803,"Census Tract 218.03, King County, Washington",2027,102,1197,115,830,114
1400000US53033021804,53033021804,"Census Tract 218.04, King County, Washington",1932,129,1202,122,730,149
1400000US53033021903,53033021903,"Census Tract 219.03, King County, Washington",2500,171,1507,192,993,182
1400000US53033021904,53033021904,"Census Tract 219.04, King County, Washington",1812,68,1284,108,528,100
1400000US53033021905,53033021905,"Census Tract 219.05, King County, Washington",2206,113,1771,150,435,135
1400000US53033021906,53033021906,"Census Tract 219.06, King County, Washington",1633,80,1218,107,415,114
1400000US53033022001,53033022001,"Census Tract 220.01, King County, Washington",2262,127,1307,117,955,149
1400000US53033022003,53033022003,"Census Tract 220.03, King County, Washington",1952,83,1277,133,675,139
1400000US53033022005,53033022005,"Census Tract 220.05, King County, Washington",2287,58,1164,182,1123,186
1400000US53033022006,53033022006,"Census Tract 220.06, King County, Washington",1808,59,1137,137,671,122
1400000US53033022101,53033022101,"Census Tract 221.01, King County, Washington",1813,97,1494,110,319,77
1400000US53033022102,53033022102,"Census Tract 221.02, King County, Washington",2424,107,2052,123,372,101
1400000US53033022201,53033022201,"Census Tract 222.01, King County, Washington",1710,66,1262,106,448,90
1400000US53033022202,53033022202,"Census Tract 222.02, King County, Washington",3160,152,1825,166,1335,182
1400000US53033022203,53033022203,"Census Tract 222.03, King County, Washington",1896,87,1588,106,308,97
1400000US53033022300,53033022300,"Census Tract 223, King County, Washington",1002,84,950,90,52,40
1400000US53033022400,53033022400,"Census Tract 224, King County, Washington",3681,213,2187,197,1494,225
1400000US53033022500,53033022500,"Census Tract 225, King County, Washington",4090,147,2463,202,1627,225
1400000US53033022603,53033022603,"Census Tract 226.03, King County, Washington",2378,85,1444,150,934,140
1400000US53033022604,53033022604,"Census Tract 226.04, King County, Washington",1834,81,1452,96,382,92
