GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US53033029504,53033029504,"Census Tract 295.04, King County, Washington",4459,465,2881,311,948,379,94,97,333,276,0,119,40,65,163,122,31,56,132,105
1400000US53033029601,53033029601,"Census Tract 296.01, King County, Washington",6954,523,4181,702,963,319,70,67,769,362,0,119,393,368,578,345,204,270,374,217
1400000US53033029602,53033029602,"Census Tract 296.02, King County, Washington",4378,334,3123,302,292,268,0,119,632,176,0,119,0,119,331,172,0,119,331,172
1400000US53033029700,53033029700,"Census Tract 297, King County, Washington",6430,519,4266,494,923,562,80,62,345,204,115,128,242,138,459,242,79,88,380,232
1400000US53033029801,53033029801,"Census Tract 298.01, King County, Washington",6969,433,4469,500,477,326,86,100,545,228,11,14,780,418,601,286,31,29,570,286
1400000US53033029802,53033029802,"Census Tract 298.02, King County, Washington",8371,535,6202,613,640,361,90,74,603,275,113,92,265,362,458,222,69,69,389,202
1400000US53033029901,53033029901,"Census Tract 299.01, King County, Washington",4855,396,3742,393,186,194,62,61,537,149,0,119,55,84,273,150,51,67,222,146
1400000US53033029902,53033029902,"Census Tract 299.02, King County, Washington",3770,234,2866,239,123,94,27,33,500,241,54,65,21,33,179,136,0,119,179,136
1400000US53033030002,53033030002,"Census Tract 300.02, King County, Washington",8385,755,5591,690,725,393,0,119,964,415,230,153,499,432,376,192,98,104,278,150
1400000US53033030003,53033030003,"Census Tract 300.03, King County, Washington",6128,492,4388,528,631,347,323,288,395,255,123,111,122,132,146,146,0,119,146,146
1400000US53033030004,53033030004,"Census Tract 300.04, King County, Washington",7096,538,4191,599,968,378,34,53,1111,391,112,137,160,136,520,265,55,92,465,236
1400000US53033030100,53033030100,"Census Tract 301, King County, Washington",7219,452,5880,518,187,176,26,28,542,151,157,238,215,111,212,151,9,16,203,149
1400000US53033030201,53033030201,"Census Tract 302.01, King County, Washington",5205,460,3171,486,606,315,50,42,742,361,215,162,176,140,245,157,16,28,229,153
1400000US53033030202,53033030202,"Census Tract 302.02, King County, Washington",5629,567,3817,520,479,206,122,160,901,289,9,18,145,176,156,112,31,42,125,100
1400000US53033030303,53033030303,"Census Tract 303.03, King County, Washington",6770,580,4428,536,473,298,25,29,893,261,55,91,492,322,404,363,11,17,393,363
